 [ 7.29444003e+01  5.39745716e+01]
 [ 4.87994756e+01  7.31012144e+01]
 [ 6.24858531e+01  5.67957100e+01]
 [ 3.75407725e+01  5.11152720e+01]
 [ 6.33484250e+01  5.96397748e+01]
 [ 5.16821952e+01  4.63665628e+01]
 [ 6.39544162e+01  6.31407603e+01]
 [ 7.22580101e+01  5.23610677e+01]
 [ 3.89820252e+01  4.89127140e+01]
 [ 5.03217650e+01  6.28050514e+01]
 [ 8.05462339e+01  4.92828336e+01]
 [ 5.78566628e+01  7.51431514e+01]
 [ 6.39194245e+01  5.91526366e+01]
 [ 3.39456640e+01  5.58118145e+01]
 [ 4.93228475e+01  4.67092130e+01]
 [ 7.14388162e+01  5.63037550e+01]
 [ 5.07421145e+01  5.09347183e+01]
 [ 7.36585339e+01  5.68247578e+01]
 [ 6.11655214e+01  7.02092222e+01]
 [ 4.17936053e+01  3.66457496e+01]
 [ 3.82329487e+01  5.71483416e+01]
 [ 6.38092581e+01  4.46030091e+01]
 [ 6.26805809e+01  5.25922781e+01]
 [ 2.97992319e+01  5.43959294e+01]
 [ 6.88724715e+01  6.70284733e+01]
 [ 4.22961441e+01  6.48120087e+01]
 [ 6.03362330e+01  7.08717211e+01]
 [ 6.12822050e+01  5.69965336e+01]
 [ 2.74308370e+01  5.14852117e+01]
 [ 3.13054650e+01  6.20534404e+01]
 [ 5.51636456e+01  6.11826999e+01]
 [ 5.51275412e+01  6.12303497e+01]
 [ 3.63816432e+01  5.45861702e+01]
 [ 2.88022682e+01  6.23915802e+01]
 [ 6.06002476e+01  5.70933545e+01]
 [ 6.49372441e+01  3.81235905e+01]
 [ 3.18421935e+01  5.31297634e+01]
 [ 6.43072822e+01  4.92725859e+01]
 [ 4.87432326e+01  7.31316670e+01]
 [ 6.02557612e+01  7.48011670e+01]
 [ 6.65515667e+01  6.02897132e+01]
 [ 4.56302308e+01  5.27938128e+01]
 [ 5.86557200e+01  6.48924107e+01]
 [ 3.52214404e+01  5.76605635e+01]
 [ 3.72652190e+01  4.03518878e+01]
 [ 5.43423030e+01  4.26257862e+01]
 [ 5.12350030e+01  5.51082156e+01]
 [ 3.65929363e+01  5.39500769e+01]
 [ 4.52707957e+01  5.32560288e+01]
 [ 5.62512871e+01  5.50343697e+01]
 [ 4.19745666e+01  3.67637815e+01]
 [ 4.16449054e+01  5.65255653e+01]
 [ 4.28367064e+01  3.56187501e+01]
 [ 5.37676638e+01  4.31394486e+01]
 [ 5.63687508e+01  6.86079902e+01]
 [ 3.07519047e+01  6.14317606e+01]
 [ 3.88048749e+01  5.37871209e+01]
 [ 5.91893797e+01  3.17938422e+01]
 [ 3.87293392e+01  6.00357170e+01]
 [ 2.69183197e+01  3.50717533e+01]
 [ 4.10354828e+01  3.58527473e+01]
 [ 5.24134831e+01  4.32102611e+01]
 [ 5.18647455e+01  3.77375162e+01]
 [ 3.93453700e+01  6.36847053e+01]
 [ 7.16337824e+01  5.23333950e+01]
 [ 5.42378973e+01  7.48720430e+01]
 [ 6.26414816e+01  6.73602296e+01]
 [ 5.08582391e+01  4.22901895e+01]
 [ 3.81905963e+01  3.67583046e+01]
 [ 5.82801007e+01  6.81738141e+01]
 [ 5.16168851e+01  4.31843400e+01]
 [ 5.44696941e+01  4.38063908e+01]
 [ 6.87192456e+01  5.75408613e+01]
 [ 6.00661177e+01  5.09119752e+01]
